mouse_movement_count,mouse_total_distance,mouse_avg_speed,mouse_std_speed,mouse_max_speed,mouse_avg_acceleration,mouse_std_acceleration,mouse_avg_curvature,mouse_duration_ms,key_event_count,key_unique_count,key_avg_interval,key_std_interval,click_event_count,click_avg_interval,click_std_interval,label
210,507.25286254442165,0.2782699005170044,0.4036859166561719,2.2662308949301266,-0.0008770320469864792,0.3657758694890506,2.569324180199694,23673,60,17,288.20338983050846,437.72790788849784,3,9820.5,4254.5,human
189,621.1887287257484,0.5823055730377159,1.7616285854311187,15.620499351813308,-0.01874065042306362,2.20976768691088,2.690804272504329,17092,66,17,207.46153846153845,373.2223538907965,3,7963.0,5165.0,human
286,1728.0078926346591,0.7520673302480411,1.404679325529358,9.540210951546092,-0.01089995857497929,1.0293538667401179,2.7527521589656265,38781,56,20,320.3818181818182,728.3284097141168,5,9584.25,6431.0845265398275,human
1091,5480.894178967757,0.6739692794626606,0.7582138877541428,7.280109889280518,-0.00010743697734005771,0.7897290144469251,2.851123432270476,42940,44,19,362.13953488372096,538.9257437478769,3,9428.5,2904.5,human
162,850.3644569579563,0.709201372067273,1.7814548497950788,18.062391868188442,-0.009105391988558552,1.9004259328892186,2.75044900052184,11337,75,22,189.35135135135135,319.1233105917503,3,7594.5,2476.5,human
312,701.1293483973699,0.2903630987735341,0.5862180607355929,8.48528137423857,-0.003252467084935595,0.6988744141242013,2.698857488638122,38862,99,26,545.1428571428571,1428.0257100526687,6,11088.8,8569.523123254876,human
101,345.13115823167533,0.5530367454885111,0.8491346659508027,5.0,-0.006651907977844788,1.026057050881666,2.8104462672069808,7168,87,22,248.51162790697674,654.1297030936929,3,11277.5,5171.5,human
201,560.5202649198463,0.3726089142867374,0.7157266555170777,4.3147750753216885,-0.01713708708060481,0.537158589086526,2.492154558863588,39074,82,21,302.6666666666667,377.1197209781229,5,9477.5,5655.04644101178,human
428,1737.2765738576916,0.5134749376875278,0.8272879723296225,7.0710678118654755,-0.0026166996945135054,0.8555103925192497,2.804413327279146,53730,60,20,449.8135593220339,1367.4281498129585,4,11345.333333333334,6065.453340206503,human
130,547.7609123919699,0.4926622746491521,1.0642724541653248,7.896905160321423,-0.061630534679765224,0.45824076079025927,2.7918922424340495,63828,108,24,242.61682242990653,548.3942173846575,3,14614.5,7392.5,human
526,3889.4717868483667,0.8094923226724112,0.737321317349935,5.380810812507721,-0.0004632783866979624,0.5274228059605869,2.8699859243874766,9844,4,1,0.3333333333333333,0.4714045207910317,2,2039.0,0.0,human
228,1491.4958500673697,0.7238917501138104,1.4294980780425661,12.453112060846477,-0.0011820203134883561,1.1520741703275756,2.752896155013842,6293,4,1,0.3333333333333333,0.4714045207910317,2,3488.0,0.0,human
